Number,lat,lon,ele,time,AQI,GSR
134,51.53216118,0.004252129,7.799842443,14:31:53,110,270
135,51.53213162,0.004182744,8.459420295,14:31:57,110,273
136,51.53210916,0.004117776,8.704425354,14:32:01,112,268
137,51.53208622,0.004041661,9.18687151,14:32:06,109,270
138,51.53206464,0.003967573,9.461838401,14:32:11,108,273
139,51.53204446,0.003887401,9.305383042,14:32:16,107,270
140,51.53201831,0.00381603,9.041516548,14:32:21,103,271
141,51.53198644,0.003744844,9.217399994,14:32:26,103,276
142,51.53195534,0.003673301,8.602179894,14:32:31,99,277
143,51.53192645,0.003607458,8.311122244,14:32:37,98,278
144,51.53189363,0.003529801,7.181166478,14:32:42,99,280
145,51.53186637,0.003464565,6.8063394,14:32:47,104,277
146,51.53183599,0.003399552,6.354458796,14:32:52,107,274
147,51.53180698,0.003338532,5.773651648,14:32:57,103,270
148,51.53178382,0.003265671,6.42489189,14:33:02,104,270
149,51.53176595,0.003193667,6.635801686,14:33:07,101,272
150,51.53175175,0.003121076,6.481300153,14:33:11,101,271
151,51.53174172,0.003048071,6.530471679,14:33:15,103,272
152,51.53173055,0.002969003,6.934739592,14:33:19,107,277
153,51.531709,0.002903125,6.972763259,14:33:23,112,274
154,51.5316871,0.002830571,6.934892833,14:33:28,109,274
155,51.53165526,0.002755379,6.83530505,14:33:33,104,274
156,51.531634,0.002672577,6.346391764,14:33:39,100,271
157,51.53160542,0.002603654,5.883303913,14:33:45,102,266
158,51.53155537,0.002595,5.336860394,14:33:52,106,263
159,51.53151077,0.002608009,5.201428171,14:33:57,103,267
160,51.53146332,0.00261033,6.081570981,14:34:02,98,270
161,51.53141249,0.002633211,5.223309129,14:34:09,102,275
162,51.53136014,0.002634321,5.731340565,14:34:13,99,277
163,51.5313073,0.002642103,5.706755635,14:34:18,102,278
164,51.53126073,0.002664928,6.04631873,14:34:23,98,273
165,51.5312145,0.002680564,6.453455674,14:34:27,95,275
166,51.53116421,0.002687741,6.42257778,14:34:31,99,276
167,51.53111579,0.002683868,6.438089306,14:34:36,97,276
168,51.53106731,0.002686806,6.337672139,14:34:40,93,277
169,51.53101502,0.002679833,6.345412141,14:34:44,88,272
170,51.5309692,0.002687064,6.876969579,14:34:48,92,275
171,51.53092224,0.00270058,6.689647615,14:34:52,95,279
172,51.53087293,0.002713761,6.917111529,14:34:57,92,280
173,51.53082464,0.00272429,6.761002411,14:35:02,90,277
174,51.5307773,0.002742293,6.881002926,14:35:07,91,280
175,51.53072505,0.002752225,7.107500319,14:35:12,95,280
176,51.53067824,0.002758849,7.697272578,14:35:17,95,279
177,51.53062534,0.002766458,7.882108745,14:35:23,95,280
178,51.53058036,0.002781532,7.997534299,14:35:28,92,279
179,51.5305311,0.002797033,8.375396281,14:35:34,88,280
180,51.53048623,0.002808747,9.131557267,14:35:39,86,280
181,51.53044041,0.002824394,9.712701892,14:35:44,84,277
182,51.53039298,0.002825804,9.321726932,14:35:49,86,277
183,51.53034204,0.002837709,8.969234877,14:35:54,89,280
184,51.53033187,0.002761675,8.721077807,14:36:12,84,280
185,51.53035349,0.00269112,9.094031141,14:36:16,87,280
186,51.53036199,0.002612553,8.424559327,14:36:21,90,280
187,51.53037156,0.002541807,8.702972637,14:36:25,90,279
188,51.53038939,0.002460644,8.733542885,14:36:30,95,277
189,51.53040264,0.002390826,8.788885435,14:36:34,91,275
190,51.53042227,0.002315574,9.400530295,14:36:39,94,275
191,51.53044301,0.00223901,9.88702529,14:36:44,91,275
192,51.53046006,0.002156972,9.454104905,14:36:49,92,275
